IDS,faa,fna,xls,contigs
573.19521,-1,-1,-1,-1
573.19520,-1,-1,-1,-1
573.19519,-1,-1,-1,-1
573.19518,-1,-1,-1,-1
573.19517,-1,-1,-1,-1
573.19516,-1,-1,-1,-1
573.19515,-1,-1,-1,-1
573.19514,-1,-1,-1,-1
573.19513,.contigs.fa,-1,-1,-1
573.19512,-1,-1,-1,-1
573.19511,-1,-1,-1,-1
573.19510,-1,-1,-1,-1
573.19509,-1,-1,-1,-1
573.19508,-1,-1,-1,-1
573.19507,-1,-1,-1,-1
573.19506,-1,-1,-1,-1
573.19505,-1,-1,-1,-1
573.19504,-1,-1,-1,-1
287.5076,-1,-1,-1,-1
287.5075,-1,-1,-1,-1
287.5074,-1,-1,-1,-1
287.5073,-1,-1,-1,-1
287.5072,-1,-1,-1,-1
287.5071,-1,-1,-1,-1
287.5070,-1,-1,-1,-1
287.5069,-1,-1,-1,-1
287.5068,-1,-1,-1,-1
287.5067,-1,-1,-1,-1
287.5066,-1,-1,-1,-1
287.5065,-1,-1,-1,-1
287.5064,-1,-1,-1,-1
287.5063,-1,-1,-1,-1
287.5062,-1,-1,-1,-1
287.5061,-1,-1,-1,-1
287.5060,-1,-1,-1,-1
287.5059,-1,-1,-1,-1
287.5058,-1,-1,-1,-1
287.5057,-1,-1,-1,-1
287.5056,-1,-1,-1,-1
287.5055,-1,-1,-1,-1
287.5054,-1,-1,-1,-1
287.5053,-1,-1,-1,-1
287.5052,-1,-1,-1,-1
287.5051,-1,-1,-1,-1
287.5050,-1,-1,-1,-1
287.5049,-1,-1,-1,-1
287.5048,-1,-1,-1,-1
287.5047,-1,-1,-1,-1
287.5046,-1,-1,-1,-1
287.5045,-1,-1,-1,-1
287.5044,-1,-1,-1,-1
287.5043,-1,-1,-1,-1
287.5042,-1,-1,-1,-1
287.5041,-1,-1,-1,-1
287.5040,-1,-1,-1,-1
287.5039,-1,-1,-1,-1
287.5038,-1,-1,-1,-1
287.5037,-1,-1,-1,-1
287.5036,-1,-1,-1,-1
287.5032,-1,-1,-1,-1
287.5031,-1,-1,-1,-1
562.25880,-1,-1,-1,-1
562.25879,-1,-1,-1,-1
562.25878,-1,-1,-1,-1
83333.385,-1,-1,-1,-1
83333.384,-1,-1,-1,-1
83333.383,-1,-1,-1,-1
83333.382,-1,-1,-1,-1
83333.381,-1,-1,-1,-1
83333.380,-1,-1,-1,-1
83333.379,-1,-1,-1,-1
83333.378,-1,-1,-1,-1
83333.377,-1,-1,-1,-1
83333.376,-1,-1,-1,-1
83333.375,-1,-1,-1,-1
83333.374,-1,-1,-1,-1
83333.373,-1,-1,-1,-1
83333.372,-1,-1,-1,-1
83333.371,-1,-1,-1,-1
83333.370,-1,-1,-1,-1
83333.369,-1,-1,-1,-1
83333.368,-1,-1,-1,-1
83333.367,-1,-1,-1,-1
83333.366,-1,-1,-1,-1
83333.365,-1,-1,-1,-1
83333.364,-1,-1,-1,-1
83333.363,-1,-1,-1,-1
83333.362,-1,-1,-1,-1
470.4233,-1,-1,-1,-1
470.4232,-1,-1,-1,-1
470.4155,-1,-1,-1,-1
470.4154,-1,-1,-1,-1
470.4153,-1,-1,-1,-1
470.4152,-1,-1,-1,-1
470.4151,-1,-1,-1,-1
470.4150,-1,-1,-1,-1
470.4149,-1,-1,-1,-1
470.4148,-1,-1,-1,-1
470.4147,-1,-1,-1,-1
470.4146,-1,-1,-1,-1
470.4145,-1,-1,-1,-1
470.4143,-1,-1,-1,-1
470.4142,-1,-1,-1,-1
470.4141,-1,-1,-1,-1
1280.14152,-1,-1,-1,-1
1280.14150,-1,-1,-1,-1
1280.14149,-1,-1,-1,-1
1280.14148,-1,-1,-1,-1
1280.14147,-1,-1,-1,-1
1280.14146,-1,-1,-1,-1
1280.14145,-1,-1,-1,-1
1280.14144,-1,-1,-1,-1
1280.14143,-1,-1,-1,-1
1280.14142,-1,-1,-1,-1
1280.14082,-1,-1,-1,-1
1280.14081,-1,-1,-1,-1
1280.14080,-1,-1,-1,-1
1280.14079,-1,-1,-1,-1
1280.14078,-1,-1,-1,-1
1280.14077,-1,-1,-1,-1
1280.14076,-1,-1,-1,-1
1280.14075,-1,-1,-1,-1
1280.14074,-1,-1,-1,-1
1280.14073,-1,-1,-1,-1
1280.14072,-1,-1,-1,-1
1280.14071,-1,-1,-1,-1
1280.14070,-1,-1,-1,-1
1280.14069,-1,-1,-1,-1
1280.14068,-1,-1,-1,-1
1280.14067,-1,-1,-1,-1
1280.14066,-1,-1,-1,-1
1280.14065,-1,-1,-1,-1
1280.14064,-1,-1,-1,-1
1280.14063,-1,-1,-1,-1
1280.14062,-1,-1,-1,-1
1280.14061,-1,-1,-1,-1
1280.14060,-1,-1,-1,-1
1280.14059,-1,-1,-1,-1
1280.14058,-1,-1,-1,-1
1280.14057,-1,-1,-1,-1
1280.14056,-1,-1,-1,-1
1280.14055,-1,-1,-1,-1
1280.14054,-1,-1,-1,-1
1280.14053,-1,-1,-1,-1
1280.14052,-1,-1,-1,-1
1280.14051,-1,-1,-1,-1
1280.14050,-1,-1,-1,-1
1280.14049,-1,-1,-1,-1
1280.14048,-1,-1,-1,-1
1280.14047,-1,-1,-1,-1
1280.14046,-1,-1,-1,-1
1280.14045,-1,-1,-1,-1
83333.271,-1,-1,-1,-1
470.3945,-1,-1,-1,-1
470.3944,-1,-1,-1,-1
470.3943,-1,-1,-1,-1
470.3942,-1,-1,-1,-1
470.3941,-1,-1,-1,-1
470.3940,-1,-1,-1,-1
470.3939,-1,-1,-1,-1
470.3938,-1,-1,-1,-1
470.3937,-1,-1,-1,-1
83333.270,-1,-1,-1,-1
83333.269,-1,-1,-1,-1
83333.268,-1,-1,-1,-1
83333.267,-1,-1,-1,-1
83333.266,-1,-1,-1,-1
83333.265,-1,-1,-1,-1
83333.264,-1,-1,-1,-1
83333.263,-1,-1,-1,-1
83333.262,-1,-1,-1,-1
83333.261,-1,-1,-1,-1
83333.260,-1,-1,-1,-1
83333.259,-1,-1,-1,-1
83333.258,-1,-1,-1,-1
83333.257,-1,-1,-1,-1
1280.12659,-1,-1,-1,-1
562.16815,-1,-1,-1,-1
562.16814,-1,-1,-1,-1
470.3588,-1,-1,-1,-1
470.3587,-1,-1,-1,-1
470.3586,-1,-1,-1,-1
470.3585,-1,-1,-1,-1
470.3584,-1,-1,-1,-1
470.3583,-1,-1,-1,-1
470.3582,-1,-1,-1,-1
470.3581,-1,-1,-1,-1
470.3580,-1,-1,-1,-1
470.3579,-1,-1,-1,-1
470.3577,-1,-1,-1,-1
470.3576,-1,-1,-1,-1
470.3215,-1,-1,-1,-1
470.3214,-1,-1,-1,-1
470.3213,-1,-1,-1,-1
470.3212,-1,-1,-1,-1
287.2998,-1,-1,-1,-1
6666666.189485,-1,-1,-1,-1
6666666.189484,-1,-1,-1,-1
470.2032,-1,-1,-1,-1
470.2031,-1,-1,-1,-1
470.2030,-1,-1,-1,-1
470.2029,-1,-1,-1,-1
6666666.165864,-1,-1,-1,-1
6666666.165863,-1,-1,-1,-1
6666666.165862,-1,-1,-1,-1
6666666.162829,-1,-1,-1,-1
6666666.162828,-1,-1,-1,-1
