jobID,organismIDRAST,organismName
635096,573.19521,Klebsiella pneumoniae 5040
635095,573.19520,Klebsiella pneumoniae 5039
635094,573.19519,Klebsiella pneumoniae 5038
635092,573.19518,Klebsiella pneumoniae 5033
635090,573.19517,Klebsiella pneumoniae 5032
635088,573.19516,Klebsiella pneumoniae 5031
635087,573.19515,Klebsiella pneumoniae 5030
635085,573.19514,Klebsiella pneumoniae 5029
635084,573.19513,Klebsiella pneumoniae 5028
635083,573.19512,Klebsiella pneumoniae 5027
635081,573.19511,Klebsiella pneumoniae 5026
635080,573.19510,Klebsiella pneumoniae 5023
635079,573.19509,Klebsiella pneumoniae 5022
635077,573.19508,Klebsiella pneumoniae 5021
635074,573.19507,Klebsiella pneumoniae 5018
635073,573.19506,Klebsiella pneumoniae 5016
635071,573.19505,Klebsiella pneumoniae 5013
635069,573.19504,Klebsiella pneumoniae 5008
574018,287.5076,Pseudomonas aeruginosa 4053
574017,287.5075,Pseudomonas aeruginosa 4045
574016,287.5074,Pseudomonas aeruginosa 4042
574015,287.5073,Pseudomonas aeruginosa 4040
574014,287.5072,Pseudomonas aeruginosa 4039
574013,287.5071,Pseudomonas aeruginosa 4038
574012,287.5070,Pseudomonas aeruginosa 4033
574011,287.5069,Pseudomonas aeruginosa 4049
574010,287.5068,Pseudomonas aeruginosa 4017
574009,287.5067,Pseudomonas aeruginosa 4062
574008,287.5066,Pseudomonas aeruginosa 4070
574007,287.5065,Pseudomonas aeruginosa 4058
574006,287.5064,Pseudomonas aeruginosa 4051
574005,287.5063,Pseudomonas aeruginosa 4047
574004,287.5062,Pseudomonas aeruginosa 4026
574003,287.5061,Pseudomonas aeruginosa 4020
574002,287.5060,Pseudomonas aeruginosa 4008
574001,287.5059,Pseudomonas aeruginosa 4067
574000,287.5058,Pseudomonas aeruginosa 4069
573999,287.5057,Pseudomonas aeruginosa 4068
573998,287.5056,Pseudomonas aeruginosa 4066
573997,287.5055,Pseudomonas aeruginosa 4061
573996,287.5054,Pseudomonas aeruginosa 4057
573995,287.5053,Pseudomonas aeruginosa 4029
573994,287.5052,Pseudomonas aeruginosa 4005
573993,287.5051,Pseudomonas aeruginosa 4003
573992,287.5050,Pseudomonas aeruginosa 4030
573991,287.5049,Pseudomonas aeruginosa 4059
573990,287.5048,Pseudomonas aeruginosa 4032
573989,287.5047,Pseudomonas aeruginosa 4031
573985,287.5046,Pseudomonas aeruginosa 4065
573984,287.5045,Pseudomonas aeruginosa 4064
573982,287.5044,Pseudomonas aeruginosa 4021
573980,287.5043,Pseudomonas aeruginosa 4052
573978,287.5042,Pseudomonas aeruginosa 4022
