# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
11949,287,17,2,0,23,0,15,0,7,0,11,0,0,0,13,1
11950,288,9,2,0,26,0,16,0,10,0,11,0,0,0,13,1
11951,285,17,2,0,23,0,15,0,7,0,11,0,0,0,13,1
11952,288,9,2,0,26,0,16,0,10,0,11,0,0,0,13,1
11953,93,0,0,3,0,0,0,9,0,0,0,8,0,0,4,1
11954,170,2,0,38,0,0,0,9,0,0,0,8,0,0,4,1
11980,262,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
11981,285,17,2,0,23,0,15,0,7,0,11,0,0,0,13,1
11982,322,19,2,0,23,0,16,0,7,0,11,0,0,0,13,1
11983,169,2,0,43,0,0,0,8,0,0,0,7,0,0,1,1
11984,255,0,0,17,0,0,0,4,0,0,0,8,0,0,1,1
11985,93,2,0,44,0,0,0,6,0,0,0,7,0,0,1,1
11986,255,0,0,15,0,0,0,4,0,0,0,8,0,0,1,1
11987,255,0,0,10,0,0,0,4,0,0,0,8,0,0,1,1
11988,285,17,2,0,23,0,15,0,7,0,11,0,0,0,13,1
11989,247,0,0,7,0,0,0,4,0,0,0,8,0,0,1,1
11990,223,15,2,0,23,0,15,0,7,0,11,0,0,0,13,1
11991,142,0,0,9,0,0,0,8,0,0,0,7,0,0,1,1
11992,384,21,2,0,23,0,16,0,7,0,11,0,0,0,13,1
11993,285,15,2,0,23,0,15,0,7,0,11,0,0,0,13,1
11994,286,9,2,0,26,0,16,0,10,0,11,0,0,0,13,1
11995,466,14,2,0,21,0,16,0,7,0,11,0,0,0,13,1
11997,390,12,2,0,21,0,16,0,7,0,11,0,0,0,13,1
11998,446,22,2,0,23,0,16,0,7,0,11,0,0,0,13,1
11999,458,22,2,0,24,0,15,0,7,0,11,0,0,0,13,1
12000,287,17,2,0,23,0,15,0,7,0,11,0,0,0,13,1
12001,262,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12002,466,14,2,0,21,0,16,0,7,0,11,0,0,0,13,1
12003,292,47,5,0,23,0,15,0,7,0,11,0,0,0,13,1
12004,454,14,2,0,21,0,16,0,7,0,11,0,0,0,13,1
12005,286,9,2,0,26,0,16,0,10,0,11,0,0,0,13,1
12016,458,22,2,0,23,0,16,0,7,0,11,0,0,0,13,1
12017,466,14,2,0,21,0,16,0,7,0,11,0,0,0,13,1
12018,168,2,0,38,0,0,0,9,0,0,0,8,0,0,4,1
12019,458,22,2,0,23,0,16,0,7,0,11,0,0,0,13,1
12020,262,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12021,255,0,0,17,0,0,0,4,0,0,0,8,0,0,1,1
12022,262,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12023,255,0,0,17,0,0,0,4,0,0,0,8,0,0,1,1
12024,262,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12025,288,9,2,0,26,0,16,0,10,0,11,0,0,0,13,1
12026,255,0,0,15,0,0,0,4,0,0,0,8,0,0,1,1
12027,155,2,0,46,0,0,0,6,0,0,0,7,0,0,1,1
12028,384,21,2,0,23,0,16,0,7,0,11,0,0,0,13,1
12029,464,14,2,0,21,0,16,0,7,0,11,0,0,0,13,1
12055,71,2,0,0,0,0,0,37,0,0,0,0,0,0,2,1
12056,81,0,0,0,0,0,0,14,0,0,0,0,0,0,2,1
12057,73,4,0,0,0,0,0,25,0,0,0,0,0,0,2,1
12058,71,2,0,0,0,0,0,22,0,0,0,0,0,0,2,1
12059,71,2,0,0,0,0,0,23,0,0,0,0,0,0,2,1
12060,71,2,0,0,0,0,0,23,0,0,0,0,0,0,2,1
12061,73,4,0,0,0,0,0,25,0,0,0,0,0,0,2,1
12250,393,43,6,0,13,2,1,0,0,2,0,0,0,0,5,1
12251,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
12252,415,43,6,0,25,2,1,0,0,5,0,0,0,0,5,1
12253,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
12254,154,0,0,18,0,0,0,4,0,0,0,3,0,0,1,1
12255,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
12256,105,2,0,26,0,0,0,4,0,0,0,3,0,0,1,1
12257,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
12258,237,9,0,0,0,0,10,0,0,0,0,0,0,0,4,1
12320,12,0,0,0,0,0,0,27,0,0,0,0,0,0,2,1
12662,454,28,2,0,21,0,16,0,7,0,11,0,0,0,13,1
13117,393,43,6,0,13,2,1,0,0,2,0,0,0,0,5,1
13118,146,0,0,20,0,0,0,4,0,0,0,3,0,0,1,1
13120,84,0,0,18,0,0,0,4,0,0,0,3,0,0,1,1
13121,393,43,6,0,13,2,1,0,0,2,0,0,0,0,5,1
13163,6,0,2,0,48,0,0,0,0,2,0,0,0,0,1,1
13166,13,0,2,0,0,0,0,15,0,0,0,0,0,0,2,1
13167,65,1,0,38,0,0,0,11,0,0,0,2,0,0,1,1
13190,4,0,0,0,0,0,16,0,0,0,0,0,0,0,2,1
13260,5,0,0,2,0,0,0,41,0,0,0,0,0,0,2,1
13571,12,0,0,0,0,0,0,8,0,0,0,0,0,0,2,1
13668,287,0,55,0,7,0,0,0,0,1,0,0,0,0,2,1
13760,167,2,0,28,0,0,0,4,0,0,0,3,0,0,1,1
14273,436,45,6,0,21,2,1,0,0,4,0,0,0,0,5,1
14325,154,0,0,18,0,0,0,4,0,0,0,3,0,0,1,1
14764,253,139,9,3,0,9,2,0,5,3,0,0,0,0,2,1
14930,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
15167,289,0,55,0,7,0,0,0,0,1,0,0,0,0,2,1
15462,21,4,0,0,51,0,0,0,0,7,0,0,0,0,2,1
15560,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
15590,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
15632,146,0,0,20,0,0,0,4,0,0,0,3,0,0,1,1
15790,277,0,55,0,7,0,0,0,0,1,0,0,0,0,2,1
15791,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
16271,15,2,2,0,0,0,0,17,0,0,0,0,0,0,2,1
16272,40,0,2,0,0,0,0,14,0,0,0,0,0,0,4,1
16306,393,43,6,0,13,2,1,0,0,2,0,0,0,0,5,1
16326,25,6,0,0,53,0,0,0,0,7,0,0,0,0,2,1
16361,119,14,5,0,56,0,0,0,0,15,0,0,0,0,2,1
16362,358,45,6,0,11,2,1,0,0,1,0,0,0,0,5,1
16363,31,2,0,0,49,0,0,0,0,7,0,0,0,0,2,1
16405,80,0,0,16,0,0,0,4,0,0,0,3,0,0,1,1
16426,18,0,0,0,55,0,0,0,0,7,0,0,0,0,2,1
16427,192,0,2,0,0,0,0,117,0,0,0,0,0,0,4,1
16428,393,43,6,0,13,2,1,0,0,2,0,0,0,0,5,1
16470,146,0,0,20,0,0,0,4,0,0,0,3,0,0,1,1
16497,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16498,146,0,0,20,0,0,0,4,0,0,0,3,0,0,1,1
16531,10,2,0,0,51,0,0,0,0,7,0,0,0,0,2,1
16532,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
16533,303,11,56,4,0,2,0,0,0,0,0,0,0,0,1,1
16716,212,9,0,0,15,0,0,0,0,3,0,0,0,0,1,1
16717,427,33,5,0,84,22,0,0,0,18,0,0,0,0,2,1
16718,142,0,0,18,0,0,0,4,0,0,0,3,0,0,1,1
16800,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16872,40,0,2,0,0,0,0,14,0,0,0,0,0,0,4,1
16873,6,0,0,0,49,0,0,0,0,7,0,0,0,0,2,1
16874,212,9,0,0,15,0,0,0,0,3,0,0,0,0,1,1
16875,23,4,0,0,51,0,0,0,0,7,0,0,0,0,2,1
16881,142,0,0,18,0,0,0,4,0,0,0,3,0,0,1,1
16923,15,2,2,0,0,0,0,28,0,0,0,0,0,0,2,1
16987,22,2,0,0,57,0,0,0,0,7,0,0,0,0,2,1
16999,146,0,0,20,0,0,0,4,0,0,0,3,0,0,1,1
17002,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
17049,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17050,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17091,299,11,54,4,0,2,0,0,0,0,0,0,0,0,1,1
17092,146,0,0,20,0,0,0,4,0,0,0,3,0,0,1,1
17099,5,0,0,2,0,0,0,39,0,0,0,0,0,0,2,1
17100,208,9,0,0,14,0,0,0,0,3,0,0,0,0,1,1
17180,186,55,5,0,21,0,8,0,6,0,11,0,0,0,13,1
17313,393,43,6,0,20,2,1,0,0,2,0,0,0,0,5,1
17386,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
17387,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
17388,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
17429,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
17430,163,2,0,12,0,0,0,4,0,0,0,3,0,0,1,1
17498,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
17591,19,2,0,0,49,0,0,0,0,7,0,0,0,0,2,1
17836,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
18182,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
18183,403,43,6,0,20,4,1,0,0,2,0,0,0,0,5,1
19101,40,0,2,0,0,0,0,14,0,0,0,0,0,0,4,1
19102,40,0,2,0,0,0,0,14,0,0,0,0,0,0,4,1
19296,4,0,0,0,0,0,22,0,0,0,0,0,0,0,2,1
19297,40,0,2,0,0,0,0,14,0,0,0,0,0,0,4,1
19298,184,48,5,0,21,0,8,0,6,0,11,0,0,0,13,1
19299,33,4,0,0,52,0,0,0,0,7,0,0,0,0,2,1
