# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,label
11949,287,0,0,18,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11950,288,0,0,10,1,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
11951,285,0,0,18,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11952,288,0,0,10,1,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
11953,93,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,4,1
11954,170,0,0,2,0,0,38,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,4,1
11980,262,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,4,1
11981,285,0,0,18,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11982,322,0,0,20,1,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11983,169,0,0,2,0,0,43,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,1,1
11984,255,0,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11985,93,0,0,2,0,0,44,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,1,1
11986,255,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11987,255,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11988,285,0,0,18,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11989,247,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11990,223,0,0,16,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11991,142,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,1,1
11992,384,0,0,22,1,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11993,285,0,0,16,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11994,286,0,0,10,1,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
11995,466,0,0,15,1,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11997,390,0,0,13,1,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11998,446,0,0,23,1,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11999,458,0,0,23,1,0,0,24,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12000,287,0,0,18,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12001,262,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,4,1
12002,466,0,0,15,1,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12003,290,2,0,51,1,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12004,454,0,0,15,1,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12005,286,0,0,10,1,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
12016,458,0,0,23,1,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
