# Id_interactions,B0,B1,B2,B3,B4,label
11949,306,23,22,11,13,1
11950,299,26,26,11,13,1
11951,304,23,22,11,13,1
11952,299,26,26,11,13,1
11953,93,3,9,8,4,1
11954,172,38,9,8,4,1
11980,262,8,9,9,4,1
11981,304,23,22,11,13,1
11982,343,23,23,11,13,1
11983,171,43,8,7,1,1
11984,255,17,4,8,1,1
11985,95,44,6,7,1,1
11986,255,15,4,8,1,1
11987,255,10,4,8,1,1
11988,304,23,22,11,13,1
11989,247,7,4,8,1,1
11990,240,23,22,11,13,1
11991,142,9,8,7,1,1
11992,407,23,23,11,13,1
11993,302,23,22,11,13,1
11994,297,26,26,11,13,1
11995,482,21,23,11,13,1
11997,404,21,23,11,13,1
11998,470,23,23,11,13,1
11999,482,24,22,11,13,1
12000,306,23,22,11,13,1
12001,262,8,9,9,4,1
12002,482,21,23,11,13,1
12003,344,23,22,11,13,1
12004,470,21,23,11,13,1
12005,297,26,26,11,13,1
12016,482,23,23,11,13,1
12017,482,21,23,11,13,1
12018,170,38,9,8,4,1
12019,482,23,23,11,13,1
12020,262,8,9,9,4,1
12021,255,17,4,8,1,1
12022,262,8,9,9,4,1
12023,255,17,4,8,1,1
12024,262,8,9,9,4,1
12025,299,26,26,11,13,1
12026,255,15,4,8,1,1
12027,157,46,6,7,1,1
12028,407,23,23,11,13,1
12029,480,21,23,11,13,1
12055,73,0,37,0,2,1
12056,81,0,14,0,2,1
12057,77,0,25,0,2,1
12058,73,0,22,0,2,1
12059,73,0,23,0,2,1
12060,73,0,23,0,2,1
12061,77,0,25,0,2,1
12250,442,15,1,2,5,1
12251,370,6,0,0,1,1
12252,464,27,1,5,5,1
12253,370,6,0,0,1,1
12254,154,18,4,3,1,1
12255,370,6,0,0,1,1
12256,107,26,4,3,1,1
12257,370,6,0,0,1,1
12258,246,0,10,0,4,1
12320,12,0,27,0,2,1
12662,484,21,23,11,13,1
13117,442,15,1,2,5,1
13118,146,20,4,3,1,1
13120,84,18,4,3,1,1
13121,442,15,1,2,5,1
13163,8,48,0,2,1,1
13166,15,0,15,0,2,1
13167,66,38,11,2,1,1
13190,4,0,16,0,2,1
13260,5,2,41,0,2,1
13571,12,0,8,0,2,1
13668,342,7,0,1,2,1
13760,169,28,4,3,1,1
14273,487,23,1,4,5,1
14325,154,18,4,3,1,1
14764,401,12,7,3,2,1
14930,452,24,1,2,5,1
15167,344,7,0,1,2,1
15462,25,51,0,7,2,1
15560,370,6,0,0,1,1
15590,370,6,0,0,1,1
15632,146,20,4,3,1,1
15790,332,7,0,1,2,1
15791,370,6,0,0,1,1
16271,19,0,17,0,2,1
16272,42,0,14,0,4,1
16306,442,15,1,2,5,1
16326,31,53,0,7,2,1
16361,138,56,0,15,2,1
16362,409,13,1,1,5,1
16363,33,49,0,7,2,1
16405,80,16,4,3,1,1
16426,18,55,0,7,2,1
16427,194,0,117,0,4,1
16428,442,15,1,2,5,1
16470,146,20,4,3,1,1
16497,21,0,0,0,2,1
16498,146,20,4,3,1,1
16531,12,51,0,7,2,1
16532,452,24,1,2,5,1
16533,370,6,0,0,1,1
16716,221,15,0,3,1,1
16717,465,106,0,18,2,1
16718,142,18,4,3,1,1
16800,21,0,0,0,2,1
16872,42,0,14,0,4,1
16873,6,49,0,7,2,1
16874,221,15,0,3,1,1
16875,27,51,0,7,2,1
16881,142,18,4,3,1,1
16923,19,0,28,0,2,1
16987,24,57,0,7,2,1
16999,146,20,4,3,1,1
17002,452,24,1,2,5,1
17049,40,0,0,0,2,1
17050,21,0,0,0,2,1
17091,364,6,0,0,1,1
17092,146,20,4,3,1,1
17099,5,2,39,0,2,1
17100,217,14,0,3,1,1
17180,246,21,14,11,13,1
17313,442,22,1,2,5,1
17386,452,24,1,2,5,1
17387,452,24,1,2,5,1
17388,452,24,1,2,5,1
17429,452,24,1,2,5,1
17430,165,12,4,3,1,1
17498,452,24,1,2,5,1
17591,21,49,0,7,2,1
17836,452,24,1,2,5,1
18182,452,24,1,2,5,1
18183,452,24,1,2,5,1
19101,42,0,14,0,4,1
19102,42,0,14,0,4,1
19296,4,0,22,0,2,1
19297,42,0,14,0,4,1
19298,237,21,14,11,13,1
19299,37,52,0,7,2,1
19300,28,0,0,0,2,1
19301,420,112,0,21,6,1
19302,15,0,20,0,2,1
19303,142,18,4,3,1,1
20663,452,24,1,2,5,1
21286,140,52,0,15,2,1
21575,422,12,7,3,2,1
21576,142,18,4,3,1,1
21578,487,23,1,4,5,1
21579,452,24,1,2,5,1
21740,491,25,4,104,6,1
21795,237,21,14,11,13,1
21816,150,22,4,3,1,1
21817,2,0,0,0,16,1
21818,142,18,4,3,1,1
21819,4,0,0,0,2,1
21900,142,18,4,3,1,1
21901,42,0,14,0,4,1
21902,15,0,28,0,2,1
21923,464,27,1,5,5,1
21924,442,15,1,2,5,1
21945,142,18,4,3,1,1
21946,2,0,34,0,2,1
21957,452,24,1,2,5,1
21958,80,16,4,3,1,1
21959,150,52,0,15,2,1
21960,344,7,0,1,2,1
21991,344,7,0,1,2,1
21992,217,15,0,3,1,1
21993,5,2,39,0,2,1
21994,5,2,39,0,2,1
21995,28,0,0,0,2,1
21996,80,16,4,3,1,1
21997,344,7,0,1,2,1
21998,460,15,1,2,5,1
21999,6,49,0,7,2,1
22000,146,20,4,3,1,1
22032,344,7,0,1,2,1
22033,185,42,1,2,1,1
