# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
11949,404897,0,19,0,23,0,15,0,7,0,11,0,0,0,13,1
11950,423518,0,11,0,26,0,16,0,10,0,11,0,0,0,13,1
11951,432827,0,19,0,23,0,15,0,7,0,11,0,0,0,13,1
11952,451448,0,11,0,26,0,16,0,10,0,11,0,0,0,13,1
11953,456166,0,0,3,0,0,0,9,0,0,0,8,0,0,4,1
11954,470094,0,2,35,3,0,0,9,0,0,0,8,0,0,4,1
11980,465470,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
11981,442137,0,19,0,23,0,15,0,7,0,11,0,0,0,13,1
11982,442134,0,21,0,23,0,16,0,7,0,11,0,0,0,13,1
11983,460784,0,2,40,3,0,0,8,0,0,0,7,0,0,1,1
11984,404955,0,0,17,0,0,0,4,0,0,0,8,0,0,1,1
11985,451475,0,2,41,3,0,0,6,0,0,0,7,0,0,1,1
11986,404957,0,0,15,0,0,0,4,0,0,0,8,0,0,1,1
11987,409617,0,0,10,0,0,0,4,0,0,0,8,0,0,1,1
11988,428172,0,19,0,23,0,15,0,7,0,11,0,0,0,13,1
11989,465480,0,0,7,0,0,0,4,0,0,0,8,0,0,1,1
11990,446794,0,17,0,23,0,15,0,7,0,11,0,0,0,13,1
11991,446855,0,0,9,0,0,0,8,0,0,0,7,0,0,1,1
11992,418857,0,23,0,23,0,16,0,7,0,11,0,0,0,13,1
11993,437484,0,17,0,23,0,15,0,7,0,11,0,0,0,13,1
11994,446793,0,11,0,26,0,16,0,10,0,11,0,0,0,13,1
11995,409556,0,16,0,21,0,16,0,7,0,11,0,0,0,13,1
11997,302493,0,14,0,21,0,16,0,7,0,11,0,0,0,13,1
11998,423511,0,24,0,23,0,16,0,7,0,11,0,0,0,13,1
11999,409546,0,24,0,24,0,15,0,7,0,11,0,0,0,13,1
12000,428172,0,19,0,23,0,15,0,7,0,11,0,0,0,13,1
12001,479435,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12002,395591,0,16,0,21,0,16,0,7,0,11,0,0,0,13,1
12003,437447,2,52,0,23,0,15,0,7,0,11,0,0,0,13,1
12004,339731,0,16,0,21,0,16,0,7,0,11,0,0,0,13,1
12005,465413,0,11,0,26,0,16,0,10,0,11,0,0,0,13,1
12016,414201,0,24,0,23,0,16,0,7,0,11,0,0,0,13,1
12017,404901,0,16,0,21,0,16,0,7,0,11,0,0,0,13,1
12018,442164,0,2,35,3,0,0,9,0,0,0,8,0,0,4,1
12019,414201,0,24,0,23,0,16,0,7,0,11,0,0,0,13,1
12020,470125,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12021,390990,0,0,17,0,0,0,4,0,0,0,8,0,0,1,1
12022,474780,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12023,400300,0,0,17,0,0,0,4,0,0,0,8,0,0,1,1
12024,479435,0,0,8,0,0,0,9,0,0,0,9,0,0,4,1
12025,446793,0,11,0,26,0,16,0,10,0,11,0,0,0,13,1
12026,404957,0,0,15,0,0,0,4,0,0,0,8,0,0,1,1
12027,446818,0,2,43,3,0,0,6,0,0,0,7,0,0,1,1
12028,395582,0,23,0,23,0,16,0,7,0,11,0,0,0,13,1
12029,372316,0,16,0,21,0,16,0,7,0,11,0,0,0,13,1
12055,376999,15,2,0,0,0,0,37,0,0,0,0,0,0,2,1
12056,358406,13,0,0,0,0,0,14,0,0,0,0,0,0,2,1
12057,363042,17,4,0,0,0,0,25,0,0,0,0,0,0,2,1
12058,367704,15,2,0,0,0,0,22,0,0,0,0,0,0,2,1
12059,381668,15,2,0,0,0,0,23,0,0,0,0,0,0,2,1
12060,363048,15,2,0,0,0,0,23,0,0,0,0,0,0,2,1
12061,358387,17,4,0,0,0,0,25,0,0,0,0,0,0,2,1
12250,455978,175,14,0,0,15,1,0,0,0,2,0,0,0,5,1
12251,656277,15,0,60,0,0,2,0,0,0,0,0,0,0,1,1
12252,465273,175,14,0,0,27,1,0,0,0,5,0,0,0,5,1
12253,679552,15,0,60,0,0,2,0,0,0,0,0,0,0,1,1
12254,451509,0,0,18,0,0,0,4,0,0,0,3,0,0,1,1
12255,684207,15,0,60,0,0,2,0,0,0,0,0,0,0,1,1
12256,423567,2,2,26,0,0,0,4,0,0,0,3,0,0,1,1
