# Id_interactions,B0,B1,B2,B3,B4,label
11949,404916,23,22,11,13,1
11950,423529,26,26,11,13,1
11951,432846,23,22,11,13,1
11952,451459,26,26,11,13,1
11953,456166,3,9,8,4,1
11954,470096,38,9,8,4,1
11980,465470,8,9,9,4,1
11981,442156,23,22,11,13,1
11982,442155,23,23,11,13,1
11983,460786,43,8,7,1,1
11984,404955,17,4,8,1,1
11985,451477,44,6,7,1,1
11986,404957,15,4,8,1,1
11987,409617,10,4,8,1,1
11988,428191,23,22,11,13,1
11989,465480,7,4,8,1,1
11990,446811,23,22,11,13,1
11991,446855,9,8,7,1,1
11992,418880,23,23,11,13,1
11993,437501,23,22,11,13,1
11994,446804,26,26,11,13,1
11995,409572,21,23,11,13,1
11997,302507,21,23,11,13,1
11998,423535,23,23,11,13,1
11999,409570,24,22,11,13,1
12000,428191,23,22,11,13,1
12001,479435,8,9,9,4,1
12002,395607,21,23,11,13,1
12003,437501,23,22,11,13,1
12004,339747,21,23,11,13,1
12005,465424,26,26,11,13,1
12016,414225,23,23,11,13,1
12017,404917,21,23,11,13,1
12018,442166,38,9,8,4,1
12019,414225,23,23,11,13,1
12020,470125,8,9,9,4,1
12021,390990,17,4,8,1,1
12022,474780,8,9,9,4,1
12023,400300,17,4,8,1,1
12024,479435,8,9,9,4,1
12025,446804,26,26,11,13,1
12026,404957,15,4,8,1,1
12027,446820,46,6,7,1,1
12028,395605,23,23,11,13,1
12029,372332,21,23,11,13,1
12055,377016,0,37,0,2,1
12056,358419,0,14,0,2,1
12057,363063,0,25,0,2,1
12058,367721,0,22,0,2,1
12059,381685,0,23,0,2,1
12060,363065,0,23,0,2,1
12061,358408,0,25,0,2,1
12250,456167,15,1,2,5,1
12251,656292,60,2,0,1,1
12252,465462,27,1,5,5,1
12253,679567,60,2,0,1,1
12254,451509,18,4,3,1,1
12255,684222,60,2,0,1,1
12256,423571,26,4,3,1,1
12257,688877,60,2,0,1,1
12258,642376,0,10,0,4,1
12320,363061,0,27,0,2,1
12662,390952,21,23,11,13,1
13117,437547,15,1,2,5,1
13118,460817,20,4,3,1,1
13120,451509,18,4,3,1,1
13121,456167,15,1,2,5,1
13163,311834,48,0,2,1,1
13166,446861,2,15,0,2,1
13167,628373,38,11,2,1,1
13190,321177,0,16,0,2,1
13260,307185,2,41,0,2,1
13571,297910,0,8,0,2,1
13668,1200980,7,0,1,2,1
13760,432879,28,4,3,1,1
14273,442192,23,1,4,5,1
14325,437544,18,4,3,1,1
14764,512017,12,11,8,2,1
14930,479433,24,1,2,5,1
15167,1042710,7,0,1,2,1
15462,470095,51,0,7,2,1
15560,684222,60,2,0,1,1
15590,660947,60,2,0,1,1
15632,423577,20,4,3,1,1
15790,1098570,7,0,1,2,1
15791,702842,60,2,0,1,1
16271,428239,2,17,0,2,1
16272,442205,2,14,0,4,1
16306,451512,15,1,2,5,1
16326,442163,53,0,7,2,1
16361,1163677,56,0,15,2,1
16362,460825,13,1,1,5,1
16363,488717,49,0,7,2,1
16405,400306,16,4,3,1,1
16426,493366,55,0,7,2,1
16427,367622,2,117,0,4,1
16428,456167,15,1,2,5,1
16470,451507,20,4,3,1,1
16497,311862,21,0,0,2,1
16498,423577,20,4,3,1,1
16531,442165,51,0,7,2,1
16532,484088,24,1,2,5,1
16533,651637,60,2,0,1,1
16716,595821,15,0,3,1,1
16717,1140349,84,22,18,2,1
16718,423579,18,4,3,1,1
16800,302552,21,0,0,2,1
16872,465480,2,14,0,4,1
16873,470097,49,0,7,2,1
16874,605131,15,0,3,1,1
16875,498025,51,0,7,2,1
16881,418924,18,4,3,1,1
16923,493398,2,28,0,2,1
16987,488709,57,0,7,2,1
16999,432887,20,4,3,1,1
17002,474778,24,1,2,5,1
17049,488733,0,40,0,2,1
17050,311862,21,0,0,2,1
17091,646984,58,2,0,1,1
17092,414267,20,4,3,1,1
17099,330462,2,39,0,2,1
17100,605132,14,0,3,1,1
17180,437511,21,14,11,13,1
17313,446850,22,1,2,5,1
17386,465468,24,1,2,5,1
17387,460813,24,1,2,5,1
17388,465468,24,1,2,5,1
17429,474778,24,1,2,5,1
17430,400310,12,4,3,1,1
17498,470123,24,1,2,5,1
17591,516647,49,0,7,2,1
17836,456158,24,1,2,5,1
18182,470123,24,1,2,5,1
18183,470123,24,1,2,5,1
19101,442205,2,14,0,4,1
19102,437550,2,14,0,4,1
19296,474786,0,22,0,2,1
19297,470135,2,14,0,4,1
19298,437511,21,14,11,13,1
19299,474749,52,0,7,2,1
19300,512020,0,28,0,2,1
19301,833106,90,22,21,6,1
19302,414271,2,20,0,2,1
19303,400304,18,4,3,1,1
20663,456158,24,1,2,5,1
21286,1117131,52,0,15,2,1
21575,432861,33,11,8,2,1
21576,404959,18,4,3,1,1
21578,446847,23,1,4,5,1
21579,470123,24,1,2,5,1
21740,483947,37,22,4,110,1
21795,428201,21,14,11,13,1
21816,446850,22,4,3,1,1
21817,516689,0,0,0,16,1
21818,437544,18,4,3,1,1
21819,279294,4,0,0,2,1
21900,474784,18,4,3,1,1
21901,442205,2,14,0,4,1
21902,484088,2,28,0,2,1
21923,484082,27,1,5,5,1
21924,442202,15,1,2,5,1
21945,456164,18,4,3,1,1
21946,493394,0,34,0,2,1
21957,474778,24,1,2,5,1
21958,400306,16,4,3,1,1
21959,1005411,52,0,15,2,1
21960,1107880,7,0,1,2,1
21991,1070640,7,0,1,2,1
21992,512031,15,0,3,1,1
21993,321152,2,39,0,2,1
21994,316497,2,39,0,2,1
21995,493400,0,28,0,2,1
21996,437546,16,4,3,1,1
21997,1089260,7,0,1,2,1
21998,451512,15,1,2,5,1
21999,479407,49,0,7,2,1
22000,428232,20,4,3,1,1
22032,1056675,7,0,1,2,1
22033,595794,42,1,2,1,1
22034,437544,18,4,3,1,1
22035,437544,18,4,3,1,1
22036,283945,0,8,0,2,1
