# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,label
11949,305,24,15,7,11,13,0,0,0,0,1
11950,298,27,16,10,11,13,0,0,0,0,1
11951,303,24,15,7,11,13,0,0,0,0,1
11952,298,27,16,10,11,13,0,0,0,0,1
11953,96,9,8,4,0,0,0,0,0,0,1
11954,210,9,8,4,0,0,0,0,0,0,1
11980,270,9,9,4,0,0,0,0,0,0,1
11981,303,24,15,7,11,13,0,0,0,0,1
11982,342,24,16,7,11,13,0,0,0,0,1
11983,214,8,7,1,0,0,0,0,0,0,1
11984,272,4,8,1,0,0,0,0,0,0,1
11985,139,6,7,1,0,0,0,0,0,0,1
11986,270,4,8,1,0,0,0,0,0,0,1
11987,265,4,8,1,0,0,0,0,0,0,1
11988,303,24,15,7,11,13,0,0,0,0,1
11989,254,4,8,1,0,0,0,0,0,0,1
11990,239,24,15,7,11,13,0,0,0,0,1
11991,151,8,7,1,0,0,0,0,0,0,1
11992,406,24,16,7,11,13,0,0,0,0,1
11993,301,24,15,7,11,13,0,0,0,0,1
11994,296,27,16,10,11,13,0,0,0,0,1
11995,481,22,16,7,11,13,0,0,0,0,1
11997,403,22,16,7,11,13,0,0,0,0,1
11998,469,24,16,7,11,13,0,0,0,0,1
11999,481,25,15,7,11,13,0,0,0,0,1
12000,305,24,15,7,11,13,0,0,0,0,1
12001,270,9,9,4,0,0,0,0,0,0,1
12002,481,22,16,7,11,13,0,0,0,0,1
12003,343,24,15,7,11,13,0,0,0,0,1
12004,469,22,16,7,11,13,0,0,0,0,1
12005,296,27,16,10,11,13,0,0,0,0,1
12016,481,24,16,7,11,13,0,0,0,0,1
12017,481,22,16,7,11,13,0,0,0,0,1
12018,208,9,8,4,0,0,0,0,0,0,1
12019,481,24,16,7,11,13,0,0,0,0,1
12020,270,9,9,4,0,0,0,0,0,0,1
12021,272,4,8,1,0,0,0,0,0,0,1
12022,270,9,9,4,0,0,0,0,0,0,1
12023,272,4,8,1,0,0,0,0,0,0,1
12024,270,9,9,4,0,0,0,0,0,0,1
12025,298,27,16,10,11,13,0,0,0,0,1
12026,270,4,8,1,0,0,0,0,0,0,1
12027,203,6,7,1,0,0,0,0,0,0,1
