# Id_interactions,B0,B1,B2,B3,label
11949,344,18,13,0,1
11950,341,21,13,0,1
11951,342,18,13,0,1
11952,341,21,13,0,1
11953,113,4,0,0,1
11954,227,4,0,0,1
11980,288,4,0,0,1
11981,342,18,13,0,1
11982,382,18,13,0,1
11983,229,1,0,0,1
11984,284,1,0,0,1
11985,152,1,0,0,1
11986,282,1,0,0,1
11987,277,1,0,0,1
11988,342,18,13,0,1
11989,266,1,0,0,1
11990,278,18,13,0,1
11991,166,1,0,0,1
11992,446,18,13,0,1
11993,340,18,13,0,1
11994,339,21,13,0,1
11995,519,18,13,0,1
11997,441,18,13,0,1
11998,509,18,13,0,1
11999,521,18,13,0,1
12000,344,18,13,0,1
12001,288,4,0,0,1
12002,519,18,13,0,1
12003,382,18,13,0,1
12004,507,18,13,0,1
12005,339,21,13,0,1
12016,521,18,13,0,1
12017,519,18,13,0,1
12018,225,4,0,0,1
12019,521,18,13,0,1
12020,288,4,0,0,1
12021,284,1,0,0,1
12022,288,4,0,0,1
12023,284,1,0,0,1
12024,288,4,0,0,1
12025,341,21,13,0,1
12026,282,1,0,0,1
12027,216,1,0,0,1
12028,446,18,13,0,1
12029,517,18,13,0,1
12055,112,0,0,0,1
12056,97,0,0,0,1
12057,104,0,0,0,1
12058,97,0,0,0,1
12059,98,0,0,0,1
12060,98,0,0,0,1
12061,104,0,0,0,1
12250,465,0,0,0,1
12251,376,1,0,0,1
12252,502,0,0,0,1
12253,376,1,0,0,1
12254,179,1,0,0,1
12255,376,1,0,0,1
12256,140,1,0,0,1
12257,376,1,0,0,1
12258,260,0,0,0,1
12320,41,0,0,0,1
12662,521,18,13,0,1
13117,465,0,0,0,1
13118,173,1,0,0,1
13120,109,1,0,0,1
13121,465,0,0,0,1
13163,58,1,0,0,1
13166,32,0,0,0,1
13167,117,1,0,0,1
13190,22,0,0,0,1
13260,50,0,0,0,1
13571,22,0,0,0,1
13668,349,3,0,0,1
13760,204,1,0,0,1
14273,520,0,0,0,1
14325,179,1,0,0,1
14764,420,5,0,0,1
14930,484,0,0,0,1
15167,351,3,0,0,1
15462,85,0,0,0,1
15560,376,1,0,0,1
15590,376,1,0,0,1
15632,173,1,0,0,1
15790,339,3,0,0,1
15791,376,1,0,0,1
16271,38,0,0,0,1
16272,60,0,0,0,1
16306,465,0,0,0,1
16326,93,0,0,0,1
16361,211,0,0,0,1
16362,429,0,0,0,1
16363,91,0,0,0,1
16405,103,1,0,0,1
16426,82,0,0,0,1
16427,315,0,0,0,1
16428,465,0,0,0,1
16470,173,1,0,0,1
16497,23,0,0,0,1
16498,173,1,0,0,1
16531,72,0,0,0,1
16532,484,0,0,0,1
16533,376,1,0,0,1
16716,240,0,0,0,1
16717,591,0,0,0,1
16718,167,1,0,0,1
16800,23,0,0,0,1
16872,60,0,0,0,1
16873,64,0,0,0,1
16874,240,0,0,0,1
16875,87,0,0,0,1
16881,167,1,0,0,1
16923,49,0,0,0,1
16987,90,0,0,0,1
16999,173,1,0,0,1
17002,484,0,0,0,1
17049,42,0,0,0,1
17050,23,0,0,0,1
17091,370,1,0,0,1
17092,173,1,0,0,1
17099,48,0,0,0,1
17100,235,0,0,0,1
17180,275,17,13,0,1
17313,472,0,0,0,1
17386,484,0,0,0,1
17387,484,0,0,0,1
17388,484,0,0,0,1
17429,484,0,0,0,1
17430,184,1,0,0,1
17498,484,0,0,0,1
17591,79,0,0,0,1
17836,484,0,0,0,1
18182,484,0,0,0,1
18183,484,0,0,0,1
19101,60,0,0,0,1
19102,60,0,0,0,1
19296,28,0,0,0,1
19297,60,0,0,0,1
19298,266,17,13,0,1
19299,98,0,0,0,1
19300,30,0,0,0,1
19301,559,0,0,0,1
19302,37,0,0,0,1
19303,167,1,0,0,1
20663,484,0,0,0,1
21286,209,0,0,0,1
21575,441,5,0,0,1
21576,167,1,0,0,1
21578,520,0,0,0,1
21579,484,0,0,0,1
21740,520,110,0,0,1
21795,266,17,13,0,1
21816,179,1,0,0,1
21817,18,0,0,0,1
21818,167,1,0,0,1
21819,6,0,0,0,1
21900,167,1,0,0,1
21901,60,0,0,0,1
21902,45,0,0,0,1
21923,502,0,0,0,1
21924,465,0,0,0,1
21945,167,1,0,0,1
21946,38,0,0,0,1
21957,484,0,0,0,1
21958,103,1,0,0,1
21959,219,0,0,0,1
21960,351,3,0,0,1
21991,351,3,0,0,1
21992,236,0,0,0,1
21993,48,0,0,0,1
21994,48,0,0,0,1
21995,30,0,0,0,1
21996,103,1,0,0,1
21997,351,3,0,0,1
21998,483,0,0,0,1
21999,64,0,0,0,1
22000,173,1,0,0,1
22032,351,3,0,0,1
22033,230,1,0,0,1
22034,167,1,0,0,1
22035,167,1,0,0,1
22036,22,0,0,0,1
22037,173,1,0,0,1
22038,43,0,0,0,1
22039,167,1,0,0,1
22040,472,0,0,0,1
22061,91,0,0,0,1
22062,51,0,0,0,1
22063,351,3,0,0,1
22064,173,1,0,0,1
22065,601,0,0,0,1
22066,376,1,0,0,1
22074,167,1,0,0,1
22075,502,0,0,0,1
22253,37,0,0,0,1
22254,441,5,0,0,1
22255,8,0,0,0,1
22256,484,0,0,0,1
22356,60,0,0,0,1
22607,202,1,0,0,1
23207,215,0,0,0,1
23208,376,1,0,0,1
23209,376,0,1,0,1
23210,230,1,0,0,1
23211,71,0,0,0,1
23329,64,0,0,0,1
23341,351,3,0,0,1
23342,351,3,0,0,1
23343,355,3,0,0,1
23364,16,0,0,0,1
23365,88,0,0,0,1
23407,376,1,0,0,1
23408,484,0,0,0,1
23409,376,1,0,0,1
23410,512,18,13,0,1
23411,376,1,0,0,1
23412,376,1,0,0,1
23413,53,0,0,0,1
23414,109,1,0,0,1
23553,55,0,0,0,1
23804,355,3,0,0,1
26103,220,1,0,0,1
26157,243,0,0,0,1
26827,49,0,0,0,1
26828,82,0,0,0,1
26829,441,5,0,0,1
26830,65,0,0,0,1
26831,496,110,0,0,1
26832,496,110,0,0,1
26833,37,0,0,0,1
26834,167,1,0,0,1
26835,552,4,0,0,1
26970,22,0,0,0,1
27068,502,0,0,0,1
30051,209,0,0,0,1
12248,15,0,0,0,1
12281,10,0,0,0,1
13168,190,1,0,0,1
13258,94,0,0,0,1
13342,94,0,0,0,1
11955,179,1,0,0,1
11976,179,1,0,0,1
11977,179,1,0,0,1
11978,179,1,0,0,1
11979,179,1,0,0,1
12315,61,0,0,0,1
12316,13,0,0,0,1
12317,66,0,0,0,1
12318,13,0,0,0,1
12319,303,6,0,0,1
13164,11,0,0,0,1
13169,8,0,0,0,1
13191,4,0,0,0,1
13192,222,0,0,0,1
13213,26,0,0,0,1
13214,56,0,0,0,1
13235,21,0,0,0,1
13256,12,0,0,0,1
13257,300,2,0,0,1
13259,213,0,0,0,1
13301,20,0,0,0,1
13439,8,0,0,0,1
13462,61,0,0,0,1
13506,23,0,0,0,1
13527,199,0,0,0,1
13713,186,0,0,0,1
13714,3,0,0,0,1
13810,8,0,0,0,1
13853,21,0,0,0,1
14018,224,2,0,0,1
14019,245,0,0,0,1
14231,34,0,0,0,1
14484,76,0,0,0,1
14539,195,0,0,0,1
14540,76,0,0,0,1
14541,28,0,0,0,1
14542,288,2,0,0,1
14543,155,0,0,0,1
