# Id_interactions,B0,B1,label
11949,362,13,1
11950,362,13,1
11951,360,13,1
11952,362,13,1
11953,117,0,1
11954,231,0,1
11980,292,0,1
11981,360,13,1
11982,400,13,1
11983,230,0,1
11984,285,0,1
11985,153,0,1
11986,283,0,1
11987,278,0,1
11988,360,13,1
11989,267,0,1
11990,296,13,1
11991,167,0,1
11992,464,13,1
11993,358,13,1
11994,360,13,1
11995,537,13,1
11997,459,13,1
11998,527,13,1
11999,539,13,1
12000,362,13,1
12001,292,0,1
12002,537,13,1
12003,400,13,1
12004,525,13,1
12005,360,13,1
12016,539,13,1
12017,537,13,1
12018,229,0,1
12019,539,13,1
12020,292,0,1
12021,285,0,1
12022,292,0,1
12023,285,0,1
12024,292,0,1
12025,362,13,1
12026,283,0,1
12027,217,0,1
12028,464,13,1
12029,535,13,1
12055,112,0,1
12056,97,0,1
12057,104,0,1
12058,97,0,1
12059,98,0,1
12060,98,0,1
12061,104,0,1
12250,465,0,1
12251,377,0,1
12252,502,0,1
12253,377,0,1
12254,180,0,1
12255,377,0,1
12256,141,0,1
12257,377,0,1
12258,260,0,1
12320,41,0,1
12662,539,13,1
13117,465,0,1
13118,174,0,1
13120,110,0,1
13121,465,0,1
13163,59,0,1
13166,32,0,1
13167,118,0,1
13190,22,0,1
13260,50,0,1
13571,22,0,1
13668,352,0,1
13760,205,0,1
14273,520,0,1
14325,180,0,1
14764,425,0,1
14930,484,0,1
15167,354,0,1
15462,85,0,1
15560,377,0,1
15590,377,0,1
15632,174,0,1
15790,342,0,1
15791,377,0,1
16271,38,0,1
16272,60,0,1
16306,465,0,1
16326,93,0,1
16361,211,0,1
16362,429,0,1
16363,91,0,1
16405,104,0,1
16426,82,0,1
16427,315,0,1
16428,465,0,1
16470,174,0,1
16497,23,0,1
16498,174,0,1
16531,72,0,1
16532,484,0,1
16533,377,0,1
16716,240,0,1
16717,591,0,1
16718,168,0,1
16800,23,0,1
16872,60,0,1
16873,64,0,1
16874,240,0,1
16875,87,0,1
16881,168,0,1
