# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,label
11949,404915,24,15,7,11,13,0,0,0,0,1
11950,423528,27,16,10,11,13,0,0,0,0,1
11951,432845,24,15,7,11,13,0,0,0,0,1
11952,451458,27,16,10,11,13,0,0,0,0,1
11953,456169,9,8,4,0,0,0,0,0,0,1
11954,470134,9,8,4,0,0,0,0,0,0,1
11980,465478,9,9,4,0,0,0,0,0,0,1
11981,442155,24,15,7,11,13,0,0,0,0,1
11982,442154,24,16,7,11,13,0,0,0,0,1
11983,460829,8,7,1,0,0,0,0,0,0,1
11984,404972,4,8,1,0,0,0,0,0,0,1
11985,451521,6,7,1,0,0,0,0,0,0,1
11986,404972,4,8,1,0,0,0,0,0,0,1
11987,409627,4,8,1,0,0,0,0,0,0,1
11988,428190,24,15,7,11,13,0,0,0,0,1
11989,465487,4,8,1,0,0,0,0,0,0,1
11990,446810,24,15,7,11,13,0,0,0,0,1
11991,446864,8,7,1,0,0,0,0,0,0,1
11992,418879,24,16,7,11,13,0,0,0,0,1
11993,437500,24,15,7,11,13,0,0,0,0,1
11994,446803,27,16,10,11,13,0,0,0,0,1
11995,409571,22,16,7,11,13,0,0,0,0,1
11997,302506,22,16,7,11,13,0,0,0,0,1
11998,423534,24,16,7,11,13,0,0,0,0,1
11999,409569,25,15,7,11,13,0,0,0,0,1
12000,428190,24,15,7,11,13,0,0,0,0,1
12001,479443,9,9,4,0,0,0,0,0,0,1
12002,395606,22,16,7,11,13,0,0,0,0,1
12003,437500,24,15,7,11,13,0,0,0,0,1
12004,339746,22,16,7,11,13,0,0,0,0,1
12005,465423,27,16,10,11,13,0,0,0,0,1
12016,414224,24,16,7,11,13,0,0,0,0,1
12017,404916,22,16,7,11,13,0,0,0,0,1
12018,442204,9,8,4,0,0,0,0,0,0,1
12019,414224,24,16,7,11,13,0,0,0,0,1
12020,470133,9,9,4,0,0,0,0,0,0,1
12021,391007,4,8,1,0,0,0,0,0,0,1
12022,474788,9,9,4,0,0,0,0,0,0,1
12023,400317,4,8,1,0,0,0,0,0,0,1
12024,479443,9,9,4,0,0,0,0,0,0,1
12025,446803,27,16,10,11,13,0,0,0,0,1
12026,404972,4,8,1,0,0,0,0,0,0,1
12027,446866,6,7,1,0,0,0,0,0,0,1
12028,395604,24,16,7,11,13,0,0,0,0,1
12029,372331,22,16,7,11,13,0,0,0,0,1
12055,377053,2,0,0,0,0,0,0,0,0,1
12056,358433,2,0,0,0,0,0,0,0,0,1
12057,363088,2,0,0,0,0,0,0,0,0,1
12058,367743,2,0,0,0,0,0,0,0,0,1
12059,381708,2,0,0,0,0,0,0,0,0,1
12060,363088,2,0,0,0,0,0,0,0,0,1
12061,358433,2,0,0,0,0,0,0,0,0,1
12250,456182,3,5,0,0,0,0,0,0,0,1
12251,656352,2,0,0,1,0,0,0,0,0,1
12252,465489,6,5,0,0,0,0,0,0,0,1
12253,679627,2,0,0,1,0,0,0,0,0,1
12254,451527,4,3,1,0,0,0,0,0,0,1
12255,684282,2,0,0,1,0,0,0,0,0,1
12256,423597,4,3,1,0,0,0,0,0,0,1
12257,688937,2,0,0,1,0,0,0,0,0,1
12258,642386,4,0,0,0,0,0,0,0,0,1
12320,363088,2,0,0,0,0,0,0,0,0,1
12662,390951,22,16,7,11,13,0,0,0,0,1
13117,437562,3,5,0,0,0,0,0,0,0,1
13118,460837,4,3,1,0,0,0,0,0,0,1
13120,451527,4,3,1,0,0,0,0,0,0,1
13121,456182,3,5,0,0,0,0,0,0,0,1
13163,311882,2,1,0,0,0,0,0,0,0,1
13166,446878,2,0,0,0,0,0,0,0,0,1
13167,628411,11,2,1,0,0,0,0,0,0,1
13190,321193,2,0,0,0,0,0,0,0,0,1
13260,307228,2,0,0,0,0,0,0,0,0,1
13571,297918,2,0,0,0,0,0,0,0,0,1
13668,1200980,7,0,1,2,0,0,0,0,0,1
13760,432907,4,3,1,0,0,0,0,0,0,1
14273,442215,5,5,0,0,0,0,0,0,0,1
14325,437562,4,3,1,0,0,0,0,0,0,1
14764,512029,11,8,0,2,0,0,0,0,0,1
14930,479457,3,5,0,0,0,0,0,0,0,1
15167,1042710,7,0,1,2,0,0,0,0,0,1
15462,470146,7,2,0,0,0,0,0,0,0,1
15560,684282,2,0,0,1,0,0,0,0,0,1
15590,661007,2,0,0,1,0,0,0,0,0,1
15632,423597,4,3,1,0,0,0,0,0,0,1
15790,1098570,7,0,1,2,0,0,0,0,0,1
15791,702902,2,0,0,1,0,0,0,0,0,1
16271,428258,2,0,0,0,0,0,0,0,0,1
16272,442221,4,0,0,0,0,0,0,0,0,1
16306,451527,3,5,0,0,0,0,0,0,0,1
16326,442216,7,2,0,0,0,0,0,0,0,1
16361,1163733,15,2,0,0,0,0,0,0,0,1
16362,460838,2,5,0,0,0,0,0,0,0,1
16363,488766,7,2,0,0,0,0,0,0,0,1
