# Id_interactions,B0,B1,B2,B3,B4,B5,B6,label
11949,404916,38,18,0,13,0,0,1
11950,423529,42,21,0,13,0,0,1
11951,432846,38,18,0,13,0,0,1
11952,451459,42,21,0,13,0,0,1
11953,456169,17,4,0,0,0,0,1
11954,470134,17,4,0,0,0,0,1
11980,465478,18,4,0,0,0,0,1
11981,442156,38,18,0,13,0,0,1
11982,442155,39,18,0,13,0,0,1
11983,460829,15,1,0,0,0,0,1
11984,404972,12,1,0,0,0,0,1
11985,451521,13,1,0,0,0,0,1
11986,404972,12,1,0,0,0,0,1
11987,409627,12,1,0,0,0,0,1
11988,428191,38,18,0,13,0,0,1
11989,465487,12,1,0,0,0,0,1
11990,446811,38,18,0,13,0,0,1
11991,446864,15,1,0,0,0,0,1
11992,418880,39,18,0,13,0,0,1
11993,437501,38,18,0,13,0,0,1
11994,446804,42,21,0,13,0,0,1
11995,409572,37,18,0,13,0,0,1
11997,302507,37,18,0,13,0,0,1
11998,423535,39,18,0,13,0,0,1
11999,409570,39,18,0,13,0,0,1
12000,428191,38,18,0,13,0,0,1
12001,479443,18,4,0,0,0,0,1
12002,395607,37,18,0,13,0,0,1
12003,437501,38,18,0,13,0,0,1
12004,339747,37,18,0,13,0,0,1
12005,465424,42,21,0,13,0,0,1
12016,414225,39,18,0,13,0,0,1
12017,404917,37,18,0,13,0,0,1
12018,442204,17,4,0,0,0,0,1
12019,414225,39,18,0,13,0,0,1
12020,470133,18,4,0,0,0,0,1
12021,391007,12,1,0,0,0,0,1
12022,474788,18,4,0,0,0,0,1
12023,400317,12,1,0,0,0,0,1
12024,479443,18,4,0,0,0,0,1
12025,446804,42,21,0,13,0,0,1
12026,404972,12,1,0,0,0,0,1
12027,446866,13,1,0,0,0,0,1
12028,395605,39,18,0,13,0,0,1
12029,372332,37,18,0,13,0,0,1
12055,377053,2,0,0,0,0,0,1
12056,358433,2,0,0,0,0,0,1
12057,363088,2,0,0,0,0,0,1
12058,367743,2,0,0,0,0,0,1
12059,381708,2,0,0,0,0,0,1
12060,363088,2,0,0,0,0,0,1
12061,358433,2,0,0,0,0,0,1
12250,456183,7,0,0,0,0,0,1
12251,656352,2,1,0,0,0,0,1
12252,465490,10,0,0,0,0,0,1
12253,679627,2,1,0,0,0,0,1
12254,451527,7,1,0,0,0,0,1
12255,684282,2,1,0,0,0,0,1
12256,423597,7,1,0,0,0,0,1
12257,688937,2,1,0,0,0,0,1
12258,642386,4,0,0,0,0,0,1
12320,363088,2,0,0,0,0,0,1
12662,390952,37,18,0,13,0,0,1
13117,437563,7,0,0,0,0,0,1
13118,460837,7,1,0,0,0,0,1
13120,451527,7,1,0,0,0,0,1
13121,456183,7,0,0,0,0,0,1
13163,311882,3,0,0,0,0,0,1
13166,446878,2,0,0,0,0,0,1
13167,628411,13,1,0,0,0,0,1
13190,321193,2,0,0,0,0,0,1
13260,307228,2,0,0,0,0,0,1
13571,297918,2,0,0,0,0,0,1
13668,1200980,7,1,2,0,0,0,1
13760,432907,7,1,0,0,0,0,1
14273,442216,9,0,0,0,0,0,1
14325,437562,7,1,0,0,0,0,1
14764,512029,19,2,0,0,0,0,1
14930,479458,7,0,0,0,0,0,1
15167,1042710,7,1,2,0,0,0,1
15462,470146,9,0,0,0,0,0,1
15560,684282,2,1,0,0,0,0,1
15590,661007,2,1,0,0,0,0,1
15632,423597,7,1,0,0,0,0,1
15790,1098570,7,1,2,0,0,0,1
15791,702902,2,1,0,0,0,0,1
16271,428258,2,0,0,0,0,0,1
16272,442221,4,0,0,0,0,0,1
16306,451528,7,0,0,0,0,0,1
16326,442216,9,0,0,0,0,0,1
16361,1163733,17,0,0,0,0,0,1
16362,460839,6,0,0,0,0,0,1
16363,488766,9,0,0,0,0,0,1
16405,400322,7,1,0,0,0,0,1
16426,493421,9,0,0,0,0,0,1
16427,367741,4,0,0,0,0,0,1
16428,456183,7,0,0,0,0,0,1
16470,451527,7,1,0,0,0,0,1
16497,311885,0,0,0,0,0,0,1
16498,423597,7,1,0,0,0,0,1
16531,442216,9,0,0,0,0,0,1
16532,484113,7,0,0,0,0,0,1
16533,651697,2,1,0,0,0,0,1
16716,595836,4,0,0,0,0,0,1
16717,1140455,20,0,0,0,0,0,1
16718,423597,7,1,0,0,0,0,1
16800,302575,0,0,0,0,0,0,1
16872,465496,4,0,0,0,0,0,1
16873,470146,9,0,0,0,0,0,1
16874,605146,4,0,0,0,0,0,1
16875,498076,9,0,0,0,0,0,1
16881,418942,7,1,0,0,0,0,1
16923,493428,2,0,0,0,0,0,1
16987,488766,9,0,0,0,0,0,1
16999,432907,7,1,0,0,0,0,1
17002,474803,7,0,0,0,0,0,1
17049,488773,2,0,0,0,0,0,1
17050,311885,0,0,0,0,0,0,1
17091,647042,2,1,0,0,0,0,1
17092,414287,7,1,0,0,0,0,1
17099,330503,2,0,0,0,0,0,1
17100,605146,4,0,0,0,0,0,1
17180,437511,29,17,0,13,0,0,1
17313,446873,7,0,0,0,0,0,1
17386,465493,7,0,0,0,0,0,1
17387,460838,7,0,0,0,0,0,1
17388,465493,7,0,0,0,0,0,1
17429,474803,7,0,0,0,0,0,1
17430,400322,7,1,0,0,0,0,1
17498,470148,7,0,0,0,0,0,1
17591,516696,9,0,0,0,0,0,1
17836,456183,7,0,0,0,0,0,1
18182,470148,7,0,0,0,0,0,1
18183,470148,7,0,0,0,0,0,1
19101,442221,4,0,0,0,0,0,1
19102,437566,4,0,0,0,0,0,1
19296,474808,2,0,0,0,0,0,1
19297,470151,4,0,0,0,0,0,1
19298,437511,29,17,0,13,0,0,1
19299,474801,9,0,0,0,0,0,1
19300,512048,2,0,0,0,0,0,1
19301,833218,27,0,0,0,0,0,1
19302,414293,2,0,0,0,0,0,1
19303,400322,7,1,0,0,0,0,1
20663,456183,7,0,0,0,0,0,1
21286,1117183,17,0,0,0,0,0,1
21575,432894,19,2,0,0,0,0,1
21576,404977,7,1,0,0,0,0,1
21578,446871,9,0,0,0,0,0,1
21579,470148,7,0,0,0,0,0,1
21740,483984,26,110,0,0,0,0,1
21795,428201,29,17,0,13,0,0,1
21816,446872,7,1,0,0,0,0,1
21817,516705,0,0,0,0,0,0,1
21818,437562,7,1,0,0,0,0,1
21819,279300,0,0,0,0,0,0,1
21900,474802,7,1,0,0,0,0,1
21901,442221,4,0,0,0,0,0,1
21902,484118,2,0,0,0,0,0,1
21923,484110,10,0,0,0,0,0,1
21924,442218,7,0,0,0,0,0,1
21945,456182,7,1,0,0,0,0,1
21946,493428,2,0,0,0,0,0,1
21957,474803,7,0,0,0,0,0,1
21958,400322,7,1,0,0,0,0,1
21959,1005463,17,0,0,0,0,0,1
21960,1107880,7,1,2,0,0,0,1
21991,1070640,7,1,2,0,0,0,1
21992,512046,4,0,0,0,0,0,1
21993,321193,2,0,0,0,0,0,1
21994,316538,2,0,0,0,0,0,1
21995,493428,2,0,0,0,0,0,1
21996,437562,7,1,0,0,0,0,1
21997,1089260,7,1,2,0,0,0,1
21998,451528,7,0,0,0,0,0,1
21999,479456,9,0,0,0,0,0,1
22000,428252,7,1,0,0,0,0,1
22032,1056675,7,1,2,0,0,0,1
22033,595836,3,1,0,0,0,0,1
22034,437562,7,1,0,0,0,0,1
22035,437562,7,1,0,0,0,0,1
22036,283953,2,0,0,0,0,0,1
22037,395667,7,1,0,0,0,0,1
22038,437568,2,0,0,0,0,0,1
22039,442217,7,1,0,0,0,0,1
22040,451528,7,0,0,0,0,0,1
22061,488766,9,0,0,0,0,0,1
22062,498083,2,0,0,0,0,0,1
22063,1112535,7,1,2,0,0,0,1
22064,418942,7,1,0,0,0,0,1
22065,1121835,20,0,0,0,0,0,1
22066,651697,2,1,0,0,0,0,1
22074,446872,7,1,0,0,0,0,1
22075,474800,10,0,0,0,0,0,1
22253,470153,2,0,0,0,0,0,1
22254,428239,19,2,0,0,0,0,1
22255,325848,2,0,0,0,0,0,1
22256,451528,7,0,0,0,0,0,1
22356,488771,4,0,0,0,0,0,1
22607,479452,12,1,0,0,0,0,1
23207,1075288,17,0,0,0,0,0,1
23208,651697,2,1,0,0,0,0,1
23209,670317,2,0,0,1,0,0,1
23210,595836,3,1,0,0,0,0,1
23211,498076,9,0,0,0,0,0,1
23329,493421,9,0,0,0,0,0,1
23341,1079950,7,1,2,0,0,0,1
23342,1103225,7,1,2,0,0,0,1
23343,1121845,7,1,2,0,0,0,1
23364,386363,2,0,0,0,0,0,1
23365,451528,7,0,0,0,0,0,1
23407,674972,2,1,0,0,0,0,1
23408,451528,7,0,0,0,0,0,1
23409,656352,2,1,0,0,0,0,1
23410,390952,37,18,0,13,0,0,1
23411,684282,2,1,0,0,0,0,1
23412,679627,2,1,0,0,0,0,1
23413,460843,2,0,0,0,0,0,1
23414,428252,7,1,0,0,0,0,1
23553,307228,2,0,0,0,0,0,1
23804,1014780,7,1,2,0,0,0,1
26103,437556,13,1,0,0,0,0,1
26157,600491,4,0,0,0,0,0,1
26827,502738,2,0,0,0,0,0,1
26828,470146,9,0,0,0,0,0,1
26829,442204,19,2,0,0,0,0,1
26830,474801,9,0,0,0,0,0,1
26831,390897,13,110,0,0,0,0,1
26832,409517,13,110,0,0,0,0,1
26833,344468,2,0,0,0,0,0,1
26834,400322,7,1,0,0,0,0,1
26835,1065977,14,2,2,0,0,0,1
26970,283953,2,0,0,0,0,0,1
27068,479455,10,0,0,0,0,0,1
30051,1107873,17,0,0,0,0,0,1
12248,209285,0,0,0,0,0,0,1
12281,57278,0,0,0,0,0,0,1
