# Id_interactions,B0,B1,B2,B3,label
11949,404954,18,13,0,1
11950,423571,21,13,0,1
11951,432884,18,13,0,1
11952,451501,21,13,0,1
11953,456186,4,0,0,1
11954,470151,4,0,0,1
11980,465496,4,0,0,1
11981,442194,18,13,0,1
11982,442194,18,13,0,1
11983,460844,1,0,0,1
11984,404984,1,0,0,1
11985,451534,1,0,0,1
11986,404984,1,0,0,1
11987,409639,1,0,0,1
11988,428229,18,13,0,1
11989,465499,1,0,0,1
11990,446849,18,13,0,1
11991,446879,1,0,0,1
11992,418919,18,13,0,1
11993,437539,18,13,0,1
11994,446846,21,13,0,1
11995,409609,18,13,0,1
11997,302544,18,13,0,1
11998,423574,18,13,0,1
11999,409609,18,13,0,1
12000,428229,18,13,0,1
12001,479461,4,0,0,1
12002,395644,18,13,0,1
12003,437539,18,13,0,1
12004,339784,18,13,0,1
12005,465466,21,13,0,1
12016,414264,18,13,0,1
12017,404954,18,13,0,1
12018,442221,4,0,0,1
12019,414264,18,13,0,1
12020,470151,4,0,0,1
12021,391019,1,0,0,1
12022,474806,4,0,0,1
12023,400329,1,0,0,1
12024,479461,4,0,0,1
12025,446846,21,13,0,1
12026,404984,1,0,0,1
12027,446879,1,0,0,1
12028,395644,18,13,0,1
12029,372369,18,13,0,1
12055,377055,0,0,0,1
12056,358435,0,0,0,1
12057,363090,0,0,0,1
12058,367745,0,0,0,1
12059,381710,0,0,0,1
12060,363090,0,0,0,1
12061,358435,0,0,0,1
12250,456190,0,0,0,1
12251,656354,1,0,0,1
12252,465500,0,0,0,1
12253,679629,1,0,0,1
12254,451534,1,0,0,1
12255,684284,1,0,0,1
12256,423604,1,0,0,1
12257,688939,1,0,0,1
12258,642390,0,0,0,1
12320,363090,0,0,0,1
12662,390989,18,13,0,1
13117,437570,0,0,0,1
13118,460844,1,0,0,1
13120,451534,1,0,0,1
13121,456190,0,0,0,1
13163,311884,1,0,0,1
13166,446880,0,0,0,1
13167,628424,1,0,0,1
13190,321195,0,0,0,1
13260,307230,0,0,0,1
13571,297920,0,0,0,1
13668,1200987,3,0,0,1
13760,432914,1,0,0,1
14273,442225,0,0,0,1
14325,437569,1,0,0,1
14764,512045,5,0,0,1
14930,479465,0,0,0,1
15167,1042717,3,0,0,1
15462,470155,0,0,0,1
15560,684284,1,0,0,1
15590,661009,1,0,0,1
15632,423604,1,0,0,1
15790,1098577,3,0,0,1
15791,702904,1,0,0,1
16271,428260,0,0,0,1
16272,442225,0,0,0,1
16306,451535,0,0,0,1
16326,442225,0,0,0,1
