designation,organism_ptr_id
28,5881
6200,197
6411,1969
1656-2,1971
A1,1968
A1296,1902
A388,1901
A85,1905
AB0057,1904
AB0057_GREG,1973
AB030,1963
AB031,1964
AB037-0294,1965
Ab04-mff,1967
Ab1,1927
Ab10,1920
Ab100,1942
Ab100R_IS,1923
Ab100R_N,1922
Ab100R_SCV,1928
Ab11,1938
Ab12,1921
Ab13,1934
Ab14,1918
Ab15,1930
Ab16,1926
Ab17,1935
Ab18,1943
Ab19,1917
Ab2,5676
Ab2_parent,1972
Ab20,1932
Ab21,5117
Ab22,5118
Ab23,5119
Ab24,5120
Ab25,5121
Ab26,5122
Ab27,5123
Ab28,5124
Ab29,5125
Ab3,1937
Ab30,5126
AB307-0294,1895
Ab31,5127
Ab32,5128
Ab33,1936
Ab34,5129
Ab35,5130
Ab36,5131
Ab37,5132
Ab38,5133
Ab39,5134
Ab40,5135
Ab42,5136
Ab43,5137
Ab44,5138
Ab45,5139
Ab4568,1897
Ab46,5140
Ab4653,1896
Ab47,5141
Ab48,5142
Ab49,5143
Ab4977,1898
Ab5,1931
Ab50,5144
AB5075-UW,1966
Ab51,5145
Ab52,5146
Ab53,5147
Ab54,5148
Ab55,5149
Ab56,5150
Ab57,5151
Ab58,5152
Ab59,5153
Ab6,1933
Ab60,5154
Ab61,5155
Ab62,5156
Ab63,5157
Ab7,1929
ab736,1910
Ab8,1925
Ab9,1916
AbFER,1919
AbH12O-A2,1962
AbPK1,1900
AbSLO,1940
AbW16,1939
AC29,1961
AC30,1960
ACICU,1959
Acinetobacter baumannii Ab2Rphi9_1 - mutant ab2,5677
Acinetobacter baumannii Ab2Rphi9_2 - mutant ab2,5678
Acinetobacter baumannii Ab2Rphi9_2new - mutant ab2,5679
Acinetobacter baumannii MDR-TJ,5898
Acinetobacter baumannii MDR-TJ,5680
Acinetobacter baumannii MDR-ZJ06,5681
ATCC17978,1958
ATCC17978-mff,1957
AYE,1956
AYP-A2,1899
B11911,1906
B8300,1907
B8342,1908
BJAB07104,1953
BJAB0715,1955
BJAB0868,1954
CBA7,1913
D1279779,1952
IOMTU433,1951
LAC-4,1950
M2,6270
MDR,5882
NCGM237,1948
ORAB01,1903
SAA14,1911
SMC_Paed_Ab_BL01,1915
SSA6,1912
SSMA17,1914
TCDC-AB0715,1946
TYTH-1,1947
vB_3082,1941
vB_3085,1924
XH386,1945
ZW85,1944
