designation,organism_ptr_id
CFT079,5244
B7A,5893
33802,5242
RKI,5241
E042,5240
CFT073_GREG,539
1006,538
Eco96,537
8542,536
8325,535
Sepsis76,534
Sepsis84,533
Sepsis149,532
LIL1,531
AP24,530
E2348,529
CARO,528
BL21,527
EcoB,526
Sepsis81,525
Sepsis27,524
HLPACL4,523
C15,522
536,521
Sepsis42,520
UTI89,519
61655,518
5115,517
AF48,516
DI14,515
RS218,514
DOV,513
MK354CL1,512
5120,511
NIHI,510
EC958,509
5517,508
UTI589,507
4543,506
5552,505
Sepsis25,504
lambda31886,503
D12,502
Sepsis47,501
5124,5899
K-12_GREG,5738
EDL933,481
BL21(DE3),480
CFT073,479
K88,5737
ECOR10,5736
PA2,5735
DE048,5734
AR_0019,475
AR_0017,474
16-9255,472
K-12,471
ExPEC XM,469
MS8345,468
B4103-1,467
F9792,466
M9682-C1,465
WG5,464
BH100,463
NQ3,462
LS4,459
FORC_043,455
CREC-544,454
AR_0014,446
CREC-629,445
CREC-591,444
AR_0011,443
AR_0006,442
AR_0015,441
CREC-532,440
AMA1167,439
S17-13,437
S17-20,432
SC516,427
