designation,organism_ptr_id
phi1019,5021
phi1009,5022
phi1007,5025
phi1014,5027
phi1011,5029
phi1027,5032
phi1016,5033
phi1013,5034
phi1017,5035
phi1008,5036
phi1026,5037
phi1010,5039
phi1021,5041
phi1020,5042
vB_Eco1006,5204
vB_Eco1007,5205
vB_Eco1008,5206
vB_Eco1010,5207
vB_Eco1011,5208
vB_Eco1013,5209
vB_Eco1014,5210
vB_Eco1015,5211
vB_Eco1016,5212
vB_Eco1017,5213
vB_Eco1018,5214
vB_Eco1019,5215
vB_Eco1020,5216
vB_Eco1021,5217
vB_Eco1022,5218
vB_Eco1024,5219
vB_Eco1025,5220
vB_Eco1026,5221
vB_Eco1027,5222
vB_Eco1031,5223
vB_Eco1032,5224
vB_Eco1033,5225
vB_Eco1034,5226
vB_Eco1035,5227
vB_Eco1036,5228
vB_Eco1038,5229
vB_Eco1043,5230
