designation,organism_ptr_id
Muco 12,5246
Muco 10,5245
Muco 9,5203
Muco 8,5202
Muco 7,5201
Muco 6,5200
Muco 5,5199
Muco 4,5198
Muco 24,5197
Muco 23,5196
Muco 21,5195
Muco 20,5194
Muco 19,5193
Muco 18,5192
Muco 17,5191
Muco 16,5190
Muco 15,5189
Muco 13,5188
Muco 1,5187
Muco 51,5186
Muco 50,5185
Muco 49,5184
Muco 48,5183
Muco 47,5182
Muco 46,5181
Muco 45,5180
Muco 44,5179
Muco 43,5178
Muco 42,5177
Muco 41,5176
Muco 40,5175
Muco 39,5174
Muco 38,5173
Muco 37,5172
Muco 36,5171
Muco 35,5170
Muco 33,5169
Muco 32,5168
Muco 31,5167
Muco 30,5166
Muco 3,5165
Muco 29,5164
Muco 27,5163
Muco 26,5162
Muco 25,5161
Muco 22,5160
Muco 2,5159
Muco 14,5158
UCBPP-PA14,1021
PA1,1020
WH-SGI-V-07173,5763
WH-SGI-V-07174,5762
PA14,5761
B136-33,1019
PA83,1018
L10,1017
Ocean-1155,1016
Ocean-1175,1015
Pa58,1014
Pa124,1013
Pa1242,1012
Pa84,1011
Pa127,1010
Pa1207,1009
PA_150577,1008
12939,1007
PB369,1006
PB367,1005
PB350,1004
PB368,1003
PB353,1002
PB354,1001
PAO1,1000
PAK,999
